strategy,family,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,beta_vs_qqq,alpha_ann_vs_qqq,tracking_error_vs_qqq,information_ratio_vs_qqq,up_capture_vs_qqq,down_capture_vs_qqq,rolling_36m_alpha_mean,rolling_36m_alpha_median,rolling_36m_alpha_last,rolling_36m_alpha_positive_ratio,Average Stock Weight,Average BOXX Weight,Overlay Trigger Frequency,Average Days In Throttle,Average Days Trimmed,Days In Throttle Share,Days Trimmed Share,Degraded Signal Share,overlay_trigger_frequency,average_days_in_throttle,average_days_trimmed,days_in_throttle_share,days_trimmed_share,degraded_signal_share
cash_buffer_branch_default_monthly_baseline,monthly_baseline,0.0,Full Sample,2018-01-02,2026-04-02,4.755674795852736,0.23643994190919604,-0.3073638175128768,0.2306005629024522,1.037996928794197,1.252890217872731,0.7692510583139492,2.646607320717131,8.973605577689243,5.824493731918997,0.5432317915777534,0.20737436395782305,0.6852339287997956,0.12991408219883313,-0.1192167647234279,0.5287244523691539,0.5432317915777534,0.13407682197513507,0.21964532355387098,0.20737436395782305,0.6852339287997956,0.12991408219883313,0.07107281567945753,0.04720718337757644,0.2808467118290693,0.8089461713419257,0.5537867824409068,0.44621321755909316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,0.0,OOS Sample,2022-01-03,2026-04-02,2.490584101723596,0.34255260573229096,-0.1916510378578209,0.22312707697546538,1.4366767481429314,1.90186419207682,1.787376732008196,2.7982862903225807,9.661451612903226,6.101313320825516,0.5028003776079697,0.8806498475119708,1.0127533901187837,0.13569639149750395,-0.1192167647234279,0.5287244523691539,0.5028003776079697,0.2578776643495561,0.22244038155082352,0.8806498475119708,1.0127533901187837,0.13569639149750395,0.20246670398962638,0.1975763853448783,0.28084671182907006,1.0,0.5663849765258215,0.43361502347417846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,0.0,2022,2022-01-03,2022-12-30,-0.1192167647234279,-0.1205321032161123,-0.1473480842578787,0.11661193440173574,-1.0343300085975302,-0.8867766335682251,-0.8180092997012782,2.0741343490304707,4.0470914127423825,1.8804780876494025,0.14083841225936303,0.7547581257138813,0.0,0.19484548607001775,-0.1192167647234279,0.5287244523691539,0.14083841225936303,-0.07217515601224586,0.2958901730049101,0.7547581257138813,0.0,0.19484548607001775,,,,,0.15617529880478087,0.8438247011952191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,0.0,2023+,2023-01-03,2026-04-02,2.9630455734406924,0.5287244523691539,-0.1916510378578209,0.2462100305377828,1.853836261461959,2.664054448256608,2.7587873161500736,3.028338607594937,11.404430379746836,7.401226993865031,0.7901980198293913,0.9646976412312489,1.23700641086397,0.03271628506705888,-0.1192167647234279,0.5287244523691539,0.7901980198293913,0.24387786264820507,0.19430260696204096,0.9646976412312489,1.23700641086397,0.03271628506705888,0.241942228237925,0.24999814279451354,0.2808467118290707,1.0,0.6928746928746928,0.30712530712530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,5.0,Full Sample,2018-01-02,2026-04-02,4.693458553595624,0.2348114426770309,-0.3083922411959321,0.2305812884853688,1.0323333759231557,1.2458270577949806,0.7614051565189903,2.646607320717131,8.973605577689243,5.824493731918997,0.5432164893760933,0.2013526473993671,0.6826953316939703,0.13191061485454292,-0.12012100392137592,0.5264192069255103,0.5432164893760933,0.13275387164986283,0.21962906242019783,0.2013526473993671,0.6826953316939703,0.13191061485454292,0.06958660268945491,0.04568150302746318,0.27949926080829407,0.8021228203184231,0.5537867824409068,0.44621321755909316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,5.0,OOS Sample,2022-01-03,2026-04-02,2.4699698396640235,0.34068001857447316,-0.19176289938838953,0.22311874719721844,1.430439511465031,1.891864480185319,1.7765689800323283,2.7982862903225807,9.661451612903226,6.101313320825516,0.502780394656072,0.8743533417402809,1.0100573409414484,0.13783008037623837,-0.12012100392137592,0.5264192069255103,0.502780394656072,0.25647654397981495,0.2224369338760282,0.8743533417402809,1.0100573409414484,0.13783008037623837,0.20103876919333322,0.1963456327131466,0.27949926080829485,1.0,0.5663849765258215,0.43361502347417846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,5.0,2022,2022-01-03,2022-12-30,-0.12012100392137592,-0.12144561610226978,-0.1473480842578786,0.11662608635640283,-1.0430282844776455,-0.8809537193472543,-0.8242089926987033,2.0741343490304707,4.0470914127423825,1.8804780876494025,0.14083089480158717,0.7512593988800813,-0.0011209256904424034,0.19596225734213568,-0.12012100392137592,0.5264192069255103,0.14083089480158717,-0.07320682523754109,0.2958983662106398,0.7512593988800813,-0.0011209256904424034,0.19596225734213568,,,,,0.15617529880478087,0.8438247011952191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,5.0,2023+,2023-01-03,2026-04-02,2.9436898199965196,0.5264192069255103,-0.1917628993883893,0.2461991646932531,1.8477484521857512,2.6536571286687494,2.7451566940449768,3.028338607594937,11.404430379746836,7.401226993865031,0.7901749477428144,0.9569249291851327,1.2339615835897864,0.036620453851144534,-0.12012100392137592,0.5264192069255103,0.7901749477428144,0.24236511174931172,0.1942935165504279,0.9569249291851327,1.2339615835897864,0.036620453851144534,0.2405474889681383,0.24865365123435113,0.2794992608082955,1.0,0.6928746928746928,0.30712530712530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,10.0,Full Sample,2018-01-02,2026-04-02,4.631902755489005,0.23318476742367977,-0.3094193013398555,0.23056312173396298,1.0266639438365857,1.2391118995393355,0.753620625519924,2.646607320717131,8.973605577689243,5.824493731918997,0.5432011871744332,0.1953290043535231,0.6801567345881429,0.13390714751025362,-0.12102455617753993,0.5241170176641934,0.5432011871744332,0.1314309213245906,0.21961396466426708,0.1953290043535231,0.6801567345881429,0.13390714751025362,0.06810038969945227,0.044155822677349896,0.27815180978751886,0.7983320697498104,0.5537867824409068,0.44621321755909316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_buffer_branch_default_monthly_baseline,monthly_baseline,10.0,OOS Sample,2022-01-03,2026-04-02,2.4494732873705534,0.33880967458732414,-0.19187476091895794,0.22311162654435113,1.4241940907729618,1.8841206762875846,1.7657855205376753,2.7982862903225807,9.661451612903226,6.101313320825516,0.5027604117041741,0.868051906770272,1.0073612917641117,0.13996376925497514,-0.12102455617753993,0.5241170176641934,0.5027604117041741,0.2550754236100738,0.22243469926481768,0.868051906770272,1.0073612917641117,0.13996376925497514,0.19961083439704008,0.19511488008141484,0.27815180978751963,1.0,0.5663849765258215,0.43361502347417846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
