family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,strategy,full_cagr,full_information_ratio_vs_qqq,full_alpha_ann_vs_qqq,oos_cagr,oos_cagr_minus_qqq,oos_alpha_ann_vs_qqq,oos_max_drawdown,oos_rolling_alpha_positive_ratio,return_2022,cagr_2023_plus,annual_turnover,average_names_held,score_oos_cagr_minus_qqq,score_oos_alpha_ratio,score_oos_maxdd,score_2022,score_2023_plus,score_full_ir,score_turnover,score_names_held,complexity_adjustment,robustness_score,full_cagr_rank,robustness_rank,core_viable
tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,tech_heavy_pullback_balanced_focused_qqq_breadth,0.230343208703087,0.1835270672788294,0.12926663952681022,0.3155716776716817,0.21362335925668785,0.23725094432467417,-0.1841129708630962,1.0,-0.11420526158137101,0.4860629363265818,2.9588645418326696,6.397299903567984,1.0,0.625,0.8958333333333334,0.8541666666666666,0.9791666666666666,0.9791666666666666,0.7916666666666666,0.14583333333333334,0.0,0.8375,2.0,1.0,True
trend_only_control,leadership_growth,sector,sector,50000000.0,True,[],[],trend_only,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,trend_only_control_focused_qqq_breadth,0.23151781986171782,0.24271105295809006,0.10509449525745031,0.2603163722812243,0.15836805386623043,0.18061498117202987,-0.3251438975484585,1.0,-0.07724812231553546,0.3873651419346702,3.787508300132802,10.322082931533268,0.9583333333333334,0.625,0.3125,0.9375,0.875,1.0,0.625,0.4479166666666667,0.01,0.7563541666666667,1.0,2.0,True
tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,tech_heavy_pullback_balanced_balanced_qqq_breadth,0.17075862545675946,-0.09052511122784296,0.08689513346468795,0.24505790662611626,0.1431095882111224,0.18471911494379675,-0.1580846281270929,1.0,-0.09240885868083792,0.3724259997776682,2.361028386454183,6.970106075216972,0.9166666666666666,0.625,0.9375,0.8958333333333334,0.6875,0.4375,0.8541666666666666,0.19791666666666666,0.0,0.7494791666666666,21.0,3.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,16,0.08,0.3,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_balanced_pullback_balanced_qqq_breadth,0.18768823595798545,0.043486521441735,0.08473078187233722,0.24449186142520074,0.14254354301020689,0.17085216464673877,-0.2982238155399347,1.0,-0.14587933177797008,0.3975227898506668,3.76527639442231,12.459016393442623,0.8958333333333334,0.625,0.4895833333333333,0.5625,0.8958333333333334,0.75,0.6458333333333334,0.6041666666666666,0.03,0.7357291666666668,12.0,4.0,True
tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,12,0.1,0.4,0.05,spy_breadth,SPY,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,tech_heavy_pullback_balanced_focused_spy_breadth,0.20061618880837484,0.06923564809950657,0.10226868333546757,0.2885102124633816,0.18656189404838774,0.2129638293680029,-0.24237892948344852,1.0,-0.20235460281173112,0.4936942871486649,3.395418326693228,6.806171648987464,0.9791666666666666,0.625,0.7708333333333334,0.16666666666666666,1.0,0.8125,0.7291666666666666,0.16666666666666666,0.0,0.728125,7.0,5.0,True
trend_only_control,leadership_growth,sector,sector,50000000.0,True,[],[],trend_only,12,0.1,0.4,0.05,spy_breadth,SPY,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,trend_only_control_focused_spy_breadth,0.20424163489121172,0.12684251429174437,0.09095873994624866,0.24441733156345613,0.14246901314846228,0.16735504168024026,-0.3251438975484582,1.0,-0.11199710616305181,0.3807572171936491,4.300863213811421,10.322082931533268,0.875,0.625,0.3333333333333333,0.875,0.8125,0.9166666666666666,0.3541666666666667,0.4479166666666667,0.01,0.7042708333333334,4.0,6.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_balanced_pullback_focused_qqq_breadth,0.19687951575892182,0.09423751003948723,0.09286182521037895,0.25838721249102936,0.1564388940760355,0.18475918840597536,-0.3372828391892724,1.0,-0.14205649761312966,0.4160176585670563,3.910794322709163,9.344262295081966,0.9375,0.625,0.1875,0.5833333333333334,0.9583333333333334,0.8333333333333334,0.5208333333333334,0.3541666666666667,0.03,0.6987500000000001,10.0,7.0,True
broad_growth_leadership_pullback,leadership_growth,sector,sector,50000000.0,True,[],[],balanced_pullback,12,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,broad_leadership_growth_balanced_pullback_focused_qqq_breadth,0.20836631625519164,0.1588867778707797,0.08757573482969563,0.23675551333320932,0.13480719491821547,0.16158640964642415,-0.3352242696335608,1.0,-0.1256698058470641,0.3762143510564764,3.8279299468791494,10.322082931533268,0.8125,0.625,0.22916666666666666,0.6875,0.7708333333333334,0.9583333333333334,0.6041666666666666,0.4479166666666667,0.03,0.6867708333333333,3.0,8.0,True
broad_growth_leadership_pullback,leadership_growth,sector,sector,50000000.0,True,[],[],pullback_tilt,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad universe but leadership/growth prefilter; not tech-only,broad_leadership_growth_pullback_tilt_diversified_qqq_breadth,0.17949986312712896,-0.0013143152916088956,0.06597313341227867,0.2123837702112914,0.11043545179629755,0.1389815382915044,-0.2731940776170557,1.0,-0.12166972021076938,0.33896399479400796,3.9340367695883125,20.644165863066537,0.625,0.625,0.7083333333333334,0.7083333333333334,0.6041666666666666,0.6041666666666666,0.5,0.9479166666666666,0.03,0.6815625000000001,16.0,9.0,True
broad_growth_leadership_pullback,large_cap_eligible,sector,sector,20000000.0,False,[],[],pullback_tilt,24,0.06,0.2,0.15,qqq_breadth,QQQ,broad,[],0.6,0.0,Broad large-cap / eligible baseline from IWB proxy universe,broad_large_cap_eligible_pullback_tilt_diversified_qqq_breadth,0.15492848196527387,-0.1319734363489417,0.06220729748849619,0.22189251953595246,0.1199442011209586,0.1544261293606534,-0.2739876333908572,1.0,-0.125973264592534,0.35476619513537555,3.8410669820717125,18.688524590163933,0.7083333333333334,0.625,0.6666666666666666,0.6666666666666666,0.625,0.3958333333333333,0.5833333333333334,0.8541666666666666,0.03,0.6727083333333334,30.0,10.0,True
