strategy,config_name,family,base_shape,regime_variant,adv_bucket,hold_bonus_bucket,holdings_count,single_name_cap,sector_cap,hold_bonus,min_adv20_usd,soft_threshold,hard_threshold,soft_defense_exposure,risk_on_target_exposure,full_cagr,oos_cagr,oos_cagr_minus_qqq,full_max_drawdown,oos_max_drawdown,return_2022,cagr_2023_plus,annual_turnover,avg_names_held,risk_on_avg_names,risk_on_target_stock_weight,risk_on_realized_stock_weight,risk_on_fill_rate,soft_defense_realized_stock_weight,hard_defense_realized_stock_weight,underfilled_month_share,avg_top1_stock_weight,avg_top3_stock_weight,avg_top5_stock_weight,avg_safe_haven_weight,avg_theoretical_stock_max,risk_on_geometry_feasible_share,selected_count_distribution_json,dominant_underfill_reason,share_2022_risk_on,share_2022_soft_defense,share_2022_hard_defense,avg_2022_stock_weight,avg_2022_safe_haven_weight,target_names,realized_names,target_stock_weight,realized_stock_weight,names_alignment_score,stock_alignment_score,deployment_honesty_score,universe,normalization,normalization_label,leadership_filter,sector_whitelist,symbol_whitelist,score_template,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,hard_defense_exposure,notes,candidate_label,geometry_note,score_honesty,score_fill_rate,score_oos_rel_qqq,score_oos_maxdd,score_2022,score_turnover,score_avg_names,score_top3_concentration,cash_buffer_refinement_score
cash_buffer_a__hb10__base__adv50,cash_buffer_a__hb10__base__adv50,tech_heavy_pullback,A,base,50M,0.10,8,0.1,0.4,0.1,50000000.0,0.55,0.35,0.6,0.8,0.2348114426770309,0.34068001857447316,0.23873167970694564,-0.3083922411959321,-0.19176289938838953,-0.12012100392137592,0.5264192069255103,2.6466073207171315,5.898989898989899,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06994949494949494,0.2098484848484849,0.34974747474747475,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""8"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.09999999999999999,0.9,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__base__adv50,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,0.78125,0.78125,1.0,0.1875,0.46875,0.75,0.46875,0.09375,0.639375
cash_buffer_b__hb05__base__adv20,cash_buffer_b__hb05__base__adv20,tech_heavy_pullback,B,base,20M,0.05,10,0.08,0.4,0.05,20000000.0,0.55,0.35,0.6,0.8,0.2245653269903627,0.29466698038836503,0.1927186415208375,-0.30431111292491386,-0.17611096037210816,-0.15618464716755043,0.4771930270810034,2.6338745019920315,7.2727272727272725,10.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.2727272727272727,0.055555555555555546,0.16666666666666666,0.27777777777777773,0.4444444444444444,0.5555555555555555,1.0,"{""0"": 0.2727272727272727, ""10"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.05000000000000001,0.9500000000000001,10.0,10.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb05__base__adv20,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=20M,0.78125,0.28125,0.625,0.75,0.09375,0.8125,0.71875,0.71875,0.620625
cash_buffer_a__hb10__tight__adv50,cash_buffer_a__hb10__tight__adv50,tech_heavy_pullback,A,tight,50M,0.10,8,0.1,0.4,0.1,50000000.0,0.6,0.4,0.5,0.8,0.21569575980327516,0.3015458198770402,0.1995974810095127,-0.333029839126467,-0.18132746767047725,-0.11467968063613032,0.4656154270284487,2.7026923555776894,5.818181818181818,8.0,0.7999999999999997,0.7999999999999997,1.0,0.5,0.0,0.2727272727272727,0.0659090909090909,0.19772727272727275,0.32954545454545453,0.47272727272727283,0.5272727272727272,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,8.0,8.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__tight__adv50,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=50M,0.28125,0.78125,0.75,0.625,0.96875,0.6875,0.21875,0.34375,0.613125
coherent_cash_buffer_branch,coherent_cash_buffer_branch,tech_heavy_pullback,A,base,50M,0.05,8,0.1,0.4,0.05,50000000.0,0.55,0.35,0.6,0.8,0.24023215835023137,0.3308200064185589,0.2288716675510314,-0.31389734436425853,-0.1917628993883893,-0.12012100392137592,0.5117520323267855,2.825473107569721,5.898989898989899,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06994949494949494,0.2098484848484849,0.34974747474747475,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""8"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.09999999999999999,0.9,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,coherent_cash_buffer_branch,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,0.78125,0.78125,0.9375,0.25,0.46875,0.375,0.46875,0.09375,0.5943749999999999
cash_buffer_a__hb10__base__adv20,cash_buffer_a__hb10__base__adv20,tech_heavy_pullback,A,base,20M,0.10,8,0.1,0.4,0.1,20000000.0,0.55,0.35,0.6,0.8,0.22936309541386568,0.3106285800514823,0.20868024118395478,-0.3060388602211557,-0.20362569087437354,-0.13959658210352865,0.492079512198887,2.607196215139442,5.818181818181818,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.2727272727272727,0.06944444444444443,0.2083333333333334,0.3472222222222222,0.4444444444444444,0.5555555555555555,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.049999999999999996,0.9500000000000001,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__base__adv20,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=20M,0.78125,0.78125,0.875,0.09375,0.34375,0.9375,0.21875,0.21875,0.588125
cash_buffer_b__hb10__base__adv50,cash_buffer_b__hb10__base__adv50,tech_heavy_pullback,B,base,50M,0.10,10,0.08,0.4,0.1,50000000.0,0.55,0.35,0.6,0.8,0.218457725297436,0.2886347541660592,0.1866864152985317,-0.3293263827636076,-0.18519964548254875,-0.14117708413301444,0.4602406467019047,2.614472111553785,7.373737373737374,10.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.26262626262626265,0.055959595959595945,0.16787878787878785,0.27979797979797977,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.10000000000000002,0.9,10.0,10.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb10__base__adv50,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,0.78125,0.28125,0.5625,0.4375,0.21875,0.875,0.96875,0.59375,0.5793750000000001
cash_buffer_b__hb10__base__adv20,cash_buffer_b__hb10__base__adv20,tech_heavy_pullback,B,base,20M,0.10,10,0.08,0.4,0.1,20000000.0,0.55,0.35,0.6,0.8,0.21086808325621798,0.2808669016247334,0.17891856275720586,-0.32066292558139664,-0.17611096037210827,-0.15618464716755043,0.45663133734120476,2.5198854581673307,7.2727272727272725,10.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.2727272727272727,0.055555555555555546,0.16666666666666666,0.27777777777777773,0.4444444444444444,0.5555555555555555,1.0,"{""0"": 0.2727272727272727, ""10"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.05000000000000001,0.9500000000000001,10.0,10.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb10__base__adv20,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=20M,0.78125,0.28125,0.4375,0.6875,0.09375,1.0,0.71875,0.71875,0.576875
cash_buffer_a__hb05__tight__adv50,cash_buffer_a__hb05__tight__adv50,tech_heavy_pullback,A,tight,50M,0.05,8,0.1,0.4,0.05,50000000.0,0.6,0.4,0.5,0.8,0.22152198762517927,0.30215048563524105,0.20020214676771353,-0.32589391291799963,-0.18132746767047747,-0.11573285450690807,0.4670442420880896,2.8694316484063744,5.818181818181818,8.0,0.7999999999999997,0.7999999999999997,1.0,0.5,0.0,0.2727272727272727,0.0659090909090909,0.19772727272727275,0.32954545454545453,0.47272727272727283,0.5272727272727272,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,8.0,8.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb05__tight__adv50,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=50M,0.28125,0.78125,0.8125,0.5625,0.84375,0.25,0.21875,0.34375,0.5668749999999999
cash_buffer_b__hb10__tight__adv50,cash_buffer_b__hb10__tight__adv50,tech_heavy_pullback,B,tight,50M,0.10,10,0.08,0.4,0.1,50000000.0,0.6,0.4,0.5,0.8,0.20668489563467896,0.2699834335336093,0.1680350946660818,-0.33395299542728973,-0.17393173738728918,-0.11660965163800929,0.42025674882047825,2.7042081673306773,7.2727272727272725,10.0,0.7999999999999997,0.7999999999999997,0.9999999999999999,0.5,0.0,0.2727272727272727,0.05272727272727273,0.15818181818181817,0.2636363636363636,0.47272727272727283,0.5272727272727272,1.0,"{""0"": 0.2727272727272727, ""10"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,10.0,10.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb10__tight__adv50,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=50M,0.28125,0.28125,0.375,0.875,0.65625,0.625,0.71875,0.84375,0.546875
cash_buffer_b__hb05__base__adv50,cash_buffer_b__hb05__base__adv50,tech_heavy_pullback,B,base,50M,0.05,10,0.08,0.4,0.05,50000000.0,0.55,0.35,0.6,0.8,0.21220251614678953,0.28438631863524866,0.18243797976772114,-0.3211961301739066,-0.18519964548254864,-0.14117708413301444,0.4539467988590795,2.806070717131474,7.373737373737374,10.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.26262626262626265,0.055959595959595945,0.16787878787878785,0.27979797979797977,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.10000000000000002,0.9,10.0,10.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy,universe,universe_cross_sectional,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,qqq_breadth,QQQ,broad,[],0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb05__base__adv50,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,0.78125,0.28125,0.5,0.5,0.21875,0.4375,0.96875,0.59375,0.5281250000000001
