strategy,avg_names_held,risk_on_avg_names,risk_on_target_stock_weight,risk_on_realized_stock_weight,risk_on_fill_rate,soft_defense_realized_stock_weight,hard_defense_realized_stock_weight,underfilled_month_share,avg_top1_stock_weight,avg_top3_stock_weight,avg_top5_stock_weight,avg_safe_haven_weight,avg_theoretical_stock_max,risk_on_geometry_feasible_share,selected_count_distribution_json,dominant_underfill_reason,share_2022_risk_on,share_2022_soft_defense,share_2022_hard_defense,avg_2022_stock_weight,avg_2022_safe_haven_weight,target_names,realized_names,target_stock_weight,realized_stock_weight,names_alignment_score,stock_alignment_score,deployment_honesty_score,family,universe,normalization,normalization_label,min_adv20_usd,leadership_filter,sector_whitelist,symbol_whitelist,score_template,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,breadth_symbols,soft_defense_exposure,hard_defense_exposure,notes,candidate_label,config_name,risk_on_target_exposure,soft_threshold,hard_threshold,geometry_note,base_shape,regime_variant,adv_bucket,hold_bonus_bucket
coherent_cash_buffer_branch,5.898989898989899,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06994949494949494,0.2098484848484849,0.34974747474747475,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""8"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.09999999999999999,0.9,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,coherent_cash_buffer_branch,coherent_cash_buffer_branch,0.8,0.55,0.35,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,A,base,50M,0.05
cash_buffer_a__hb05__base__adv20,5.818181818181818,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.2727272727272727,0.06944444444444443,0.2083333333333334,0.3472222222222222,0.4444444444444444,0.5555555555555555,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.049999999999999996,0.9500000000000001,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,20000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb05__base__adv20,cash_buffer_a__hb05__base__adv20,0.8,0.55,0.35,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=20M,A,base,20M,0.05
cash_buffer_a__hb05__tight__adv50,5.818181818181818,8.0,0.7999999999999997,0.7999999999999997,1.0,0.5,0.0,0.2727272727272727,0.0659090909090909,0.19772727272727275,0.32954545454545453,0.47272727272727283,0.5272727272727272,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,8.0,8.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.5,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb05__tight__adv50,cash_buffer_a__hb05__tight__adv50,0.8,0.6,0.4,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=50M,A,tight,50M,0.05
cash_buffer_a__hb05__tight__adv20,5.818181818181818,8.0,0.7999999999999997,0.7999999999999997,1.0,0.5,0.0,0.2727272727272727,0.06553030303030302,0.19659090909090912,0.32765151515151514,0.4757575757575758,0.5242424242424242,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,8.0,8.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,20000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.05,qqq_breadth,QQQ,broad,[],0.5,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb05__tight__adv20,cash_buffer_a__hb05__tight__adv20,0.8,0.6,0.4,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=20M,A,tight,20M,0.05
cash_buffer_a__hb10__base__adv50,5.898989898989899,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.26262626262626265,0.06994949494949494,0.2098484848484849,0.34974747474747475,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""8"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.09999999999999999,0.9,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__base__adv50,cash_buffer_a__hb10__base__adv50,0.8,0.55,0.35,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,A,base,50M,0.10
cash_buffer_a__hb10__base__adv20,5.818181818181818,8.0,0.7999999999999998,0.7999999999999998,1.0,0.5999999999999999,0.0,0.2727272727272727,0.06944444444444443,0.2083333333333334,0.3472222222222222,0.4444444444444444,0.5555555555555555,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.049999999999999996,0.9500000000000001,8.0,8.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,20000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.1,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__base__adv20,cash_buffer_a__hb10__base__adv20,0.8,0.55,0.35,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=20M,A,base,20M,0.10
cash_buffer_a__hb10__tight__adv50,5.818181818181818,8.0,0.7999999999999997,0.7999999999999997,1.0,0.5,0.0,0.2727272727272727,0.0659090909090909,0.19772727272727275,0.32954545454545453,0.47272727272727283,0.5272727272727272,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,8.0,8.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.1,qqq_breadth,QQQ,broad,[],0.5,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__tight__adv50,cash_buffer_a__hb10__tight__adv50,0.8,0.6,0.4,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=50M,A,tight,50M,0.10
cash_buffer_a__hb10__tight__adv20,5.818181818181818,8.0,0.7999999999999997,0.7999999999999997,1.0,0.5,0.0,0.2727272727272727,0.06553030303030302,0.19659090909090912,0.32765151515151514,0.4757575757575758,0.5242424242424242,1.0,"{""0"": 0.2727272727272727, ""8"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.041666666666666664,0.9583333333333334,8.0,8.0,0.8,0.7999999999999997,1.0,0.9999999999999996,0.9999999999999998,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,20000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,8,0.1,0.4,0.1,qqq_breadth,QQQ,broad,[],0.5,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_a__hb10__tight__adv20,cash_buffer_a__hb10__tight__adv20,0.8,0.6,0.4,cash-buffer branch A: 8 names / 10% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.10 / soft-hard=0.60/0.40 / soft_defense=0.50 / adv20=20M,A,tight,20M,0.10
cash_buffer_b__hb05__base__adv50,7.373737373737374,10.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.26262626262626265,0.055959595959595945,0.16787878787878785,0.27979797979797977,0.4404040404040404,0.5595959595959595,1.0,"{""0"": 0.26262626262626265, ""10"": 0.7373737373737373}",hard_defense_zero_stock,0.0,0.16666666666666666,0.8333333333333334,0.10000000000000002,0.9,10.0,10.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,50000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,10,0.08,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb05__base__adv50,cash_buffer_b__hb05__base__adv50,0.8,0.55,0.35,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=50M,B,base,50M,0.05
cash_buffer_b__hb05__base__adv20,7.2727272727272725,10.0,0.7999999999999998,0.7999999999999998,0.9999999999999999,0.5999999999999999,0.0,0.2727272727272727,0.055555555555555546,0.16666666666666666,0.27777777777777773,0.4444444444444444,0.5555555555555555,1.0,"{""0"": 0.2727272727272727, ""10"": 0.7272727272727273}",hard_defense_zero_stock,0.0,0.08333333333333333,0.9166666666666666,0.05000000000000001,0.9500000000000001,10.0,10.0,0.8,0.7999999999999998,1.0,0.9999999999999998,0.9999999999999999,tech_heavy_pullback,tech_heavy,universe,universe_cross_sectional,20000000.0,False,"[""Information Technology"", ""Communication""]",[],balanced_pullback,10,0.08,0.4,0.05,qqq_breadth,QQQ,broad,[],0.6,0.0,Sector proxy only: Information Technology + Communication; no sub-industry data available,cash_buffer_b__hb05__base__adv20,cash_buffer_b__hb05__base__adv20,0.8,0.55,0.35,cash-buffer branch B: 10 names / 8% single cap / 40% sector cap / 80% risk_on / hold_bonus=0.05 / soft-hard=0.55/0.35 / soft_defense=0.60 / adv20=20M,B,base,20M,0.05
