scenario,universe_filter,leadership_only,group_normalization,group_normalization_label,holdings_count,single_name_cap,sector_cap,hold_bonus,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_sortino,full_calmar,full_information_ratio_vs_qqq,full_beta_vs_qqq,full_tracking_error_vs_qqq,full_up_capture_vs_qqq,full_down_capture_vs_qqq,full_rolling_36m_alpha_positive_ratio,full_average_names_held,return_2022,cagr_2023_plus,oos_total_return,oos_cagr,oos_max_drawdown,oos_volatility,oos_sharpe,oos_sortino,oos_calmar,oos_information_ratio_vs_qqq,oos_beta_vs_qqq,oos_tracking_error_vs_qqq,oos_up_capture_vs_qqq,oos_down_capture_vs_qqq,oos_average_names_held,oos_rolling_36m_alpha_mean,oos_rolling_36m_alpha_median,oos_rolling_36m_alpha_last,oos_rolling_36m_alpha_positive_ratio,annual_turnover,average_monthly_turnover,average_names_replaced_per_rebalance,median_holding_duration_days,top5_continuity,avg_sector_weights_json,top_decile_neighborhood_share,plateau_100bps_share,plateau_200bps_share,plateau_subspace_label,complexity_score,oos_cagr_minus_qqq,score_oos_cagr_minus_qqq,score_oos_positive_alpha_ratio,score_plateau_200bps_share,score_oos_drawdown,score_2022,score_2023_plus,score_turnover,score_complexity,robustness_score,robustness_rank,full_cagr_rank,full_total_return_rank,core_viable,spy_sanity_full_cagr,spy_sanity_full_ir_vs_qqq,spy_sanity_oos_cagr,spy_sanity_oos_cagr_minus_qqq,spy_sanity_pass
v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,4.958779781250848,0.2416506149571933,-0.3237786750219297,0.2852530615979183,0.9038399819654638,1.0872431256196995,0.7463450609921305,0.25955550200999655,0.680132606009888,0.24661100128083882,0.8033469054684741,0.3037603871032996,0.9529946929492039,9.465766634522662,-0.015312392803116026,0.46479200166957213,2.3973026290745523,0.3340103912486361,-0.3237786750219295,0.29901336327568034,1.117223600509941,1.4774266208748699,1.0316009577406962,0.8364949185011566,0.7447972128382271,0.2503246777441277,1.2004465692291044,0.399329891990792,10.570356472795497,0.1661333948594023,0.1664666841187142,0.1646374085474537,1.0,3.4402863545816738,0.28369999999999995,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.16858585858585856, ""Consumer Discretionary"": 0.1291919191919192, ""Health Care"": 0.09242424242424241, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06474747474747476, ""Financials"": 0.05646464646464646, ""Materials"": 0.0494949494949495, ""Energy"": 0.03414141414141414, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",0.07407407407407407,0.07407407407407407,0.3333333333333333,liquid_50m | universe | 12,0.5,0.23206203192857555,0.9583333333333334,0.5231481481481481,0.8148148148148148,0.7361111111111112,0.9699074074074074,0.9398148148148148,0.8240740740740741,0.5,0.8069444444444445,1,48,48,True,0.22967226882490155,0.20051785315950724,0.30719408803716064,0.20524572871710012,True
v11_leadership_liquid_norm_universe_cross_sectional_h12_cap8_sector35_hold05,leadership_liquid,True,universe,universe_cross_sectional,12,0.08,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,5.74419951538498,0.2604342522250185,-0.3898600851240055,0.30193542654503086,0.9203117353935139,1.1375775386408908,0.6680197900797676,0.34887921501540836,0.7901982811375882,0.2409453843935809,0.9104500410088444,0.4049103779734205,0.9226686884003032,10.322082931533268,-0.011143383516908356,0.47023731907082866,2.4530057760410107,0.3391326247123816,-0.3308445529516365,0.304436962015991,1.1154713718697782,1.5614649920041324,1.025051256509448,0.8826438871596433,0.805610549687676,0.24349712651205638,1.2825237386047108,0.4887201560809856,12.0,0.139786656188163,0.14001566428107898,0.16786038477877563,1.0,3.551850099601593,0.29289999999999994,3.63265306122449,61.0,0.6211764705882352,"{""Information Technology"": 0.20616161616161616, ""Consumer Discretionary"": 0.12636363636363637, ""Health Care"": 0.10383838383838385, ""Industrials"": 0.07333333333333333, ""Communication"": 0.0592929292929293, ""Financials"": 0.058383838383838385, ""Energy"": 0.057979797979797985, ""Materials"": 0.054242424242424245, ""Utilities"": 0.02070707070707071, ""Consumer Staples"": 0.011414141414141413, ""Real Estate"": 0.00404040404040404}",0.7777777777777778,0.5925925925925926,0.9629629629629629,leadership_liquid | universe | 12,0.33333333333333337,0.23718426539232107,0.9722222222222222,0.5231481481481481,0.9398148148148148,0.6157407407407407,0.9953703703703703,0.9629629629629629,0.5462962962962963,0.33333333333333337,0.8031018518518518,2,12,12,True,0.2544235699256516,0.31750078645730784,0.3230026629024694,0.22105430358240885,True
v11_leadership_liquid_norm_universe_cross_sectional_h12_cap8_sector35_hold10,leadership_liquid,True,universe,universe_cross_sectional,12,0.08,0.35,0.1,qqq_breadth,QQQ,broad,0.6,0.0,5.803655317862557,0.2617765321445571,-0.3950721034181698,0.30378522297394756,0.9200689986318938,1.1341602757487124,0.6626044458205542,0.3559587125307021,0.8009333247500565,0.24072872238461024,0.9072378886308184,0.3937568386695249,0.9234268385140257,10.322082931533268,-0.020395190215243497,0.4615239628944039,2.3553635777617195,0.3301113199028374,-0.3308445529516364,0.3044047529023106,1.0932520613098216,1.5306480118852932,0.9977837536019334,0.8593152177090753,0.81122037866025,0.24219477775194978,1.2664278887683718,0.49333381714709307,12.0,0.13072749611325302,0.13115787700371995,0.16231451479830936,1.0,3.388142430278884,0.27940000000000004,3.4489795918367347,61.0,0.6235294117647059,"{""Information Technology"": 0.20636363636363636, ""Consumer Discretionary"": 0.1292929292929293, ""Health Care"": 0.10333333333333333, ""Industrials"": 0.07171717171717172, ""Communication"": 0.06090909090909091, ""Financials"": 0.05818181818181819, ""Energy"": 0.057979797979797985, ""Materials"": 0.05343434343434343, ""Utilities"": 0.018282828282828286, ""Consumer Staples"": 0.012222222222222221, ""Real Estate"": 0.00404040404040404}",0.7777777777777778,0.5925925925925926,0.9629629629629629,leadership_liquid | universe | 12,0.5,0.22816296058277685,0.9398148148148148,0.5231481481481481,0.9398148148148148,0.6203703703703703,0.9166666666666666,0.9212962962962963,0.8472222222222222,0.5,0.8031018518518518,2,7,7,True,0.25170723096672387,0.3094119684812067,0.3155154442205803,0.2135670849005198,True
v11_liquid_50m_norm_universe_cross_sectional_h12_cap8_sector25_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.08,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,5.02821710903432,0.24339626521122248,-0.3237786750219299,0.28414942396732457,0.9111709298960622,1.098961842839113,0.7517365533561992,0.26358107586553564,0.6731013940051532,0.24696315864241158,0.8083101056853462,0.3057568842051192,0.9583017437452616,9.465766634522662,-0.01752902021976721,0.4643449562179822,2.3862998313700907,0.33299103761904325,-0.3237786750219296,0.2990084677165102,1.114667271287586,1.4743999789696298,1.0284526539510044,0.833570689137495,0.7449783343676848,0.25027929857547127,1.2035560123768585,0.406988510180739,10.570356472795497,0.1657774426941319,0.16639839747680907,0.1643163792448493,1.0,3.428159860557769,0.28269999999999995,3.2653061224489797,61.0,0.5923076923076922,"{""Information Technology"": 0.16707070707070706, ""Consumer Discretionary"": 0.1296969696969697, ""Health Care"": 0.09292929292929292, ""Industrials"": 0.06858585858585858, ""Communication"": 0.06525252525252526, ""Financials"": 0.05646464646464646, ""Materials"": 0.05050505050505051, ""Energy"": 0.03313131313131313, ""Utilities"": 0.02101010101010101, ""Consumer Staples"": 0.011919191919191921, ""Real Estate"": 0.00404040404040404}",0.07407407407407407,0.07407407407407407,0.3333333333333333,liquid_50m | universe | 12,0.33333333333333337,0.23104267829898273,0.9537037037037037,0.5231481481481481,0.8148148148148148,0.7314814814814815,0.9490740740740741,0.9351851851851852,0.8287037037037037,0.33333333333333337,0.7979166666666667,4,44,44,True,,,,,True
v11_liquid_50m_norm_universe_cross_sectional_h12_cap9_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.09,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,5.15938872608468,0.24664624015911807,-0.3330934877409457,0.2955054706911355,0.8962610010932264,1.0766425743733548,0.740471516966253,0.27957749394626524,0.6995243851953366,0.25408393277963726,0.8264701009873268,0.31716756627647197,0.9522365428354814,9.465766634522662,-0.01905771738409745,0.4764683266457326,2.472692390161072,0.3409278199545822,-0.3330934877409455,0.30994832087441215,1.1053747818294553,1.4563251338991574,1.0235199200884098,0.8427145142602795,0.7671209875956905,0.2586161605929177,1.2368097661897863,0.41944709613262726,10.570356472795497,0.1707727977760978,0.1707589287434762,0.16807987528111262,1.0,3.585400066401062,0.2956666666666667,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.17424242424242425, ""Consumer Discretionary"": 0.13400673400673402, ""Health Care"": 0.09545454545454546, ""Industrials"": 0.07104377104377103, ""Communication"": 0.06717171717171716, ""Financials"": 0.05858585858585858, ""Materials"": 0.05134680134680134, ""Energy"": 0.035016835016835016, ""Utilities"": 0.021885521885521883, ""Consumer Staples"": 0.012289562289562291, ""Real Estate"": 0.004208754208754209}",0.07407407407407407,0.07407407407407407,0.3333333333333333,liquid_50m | universe | 12,0.33333333333333337,0.2389794606345217,0.9884259259259259,0.5231481481481481,0.8148148148148148,0.48842592592592593,0.9328703703703703,0.9884259259259259,0.46064814814814814,0.33333333333333337,0.7677314814814814,5,40,40,True,,,,,True
v11_liquid_50m_norm_universe_cross_sectional_h12_cap10_sector30_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.1,0.3,0.1,qqq_breadth,QQQ,broad,0.6,0.0,5.15938872608468,0.24664624015911807,-0.3330934877409457,0.2955054706911355,0.8962610010932264,1.0766425743733548,0.740471516966253,0.27957749394626524,0.6995243851953366,0.25408393277963726,0.8264701009873268,0.31716756627647197,0.9522365428354814,9.465766634522662,-0.01905771738409745,0.4764683266457326,2.472692390161072,0.3409278199545822,-0.3330934877409455,0.30994832087441215,1.1053747818294553,1.4563251338991574,1.0235199200884098,0.8427145142602795,0.7671209875956905,0.2586161605929177,1.2368097661897863,0.41944709613262726,10.570356472795497,0.1707727977760978,0.1707589287434762,0.16807987528111262,1.0,3.585400066401062,0.2956666666666667,3.2857142857142856,61.0,0.5897435897435896,"{""Information Technology"": 0.17424242424242425, ""Consumer Discretionary"": 0.13400673400673402, ""Health Care"": 0.09545454545454546, ""Industrials"": 0.07104377104377103, ""Communication"": 0.06717171717171716, ""Financials"": 0.05858585858585858, ""Materials"": 0.05134680134680134, ""Energy"": 0.035016835016835016, ""Utilities"": 0.021885521885521883, ""Consumer Staples"": 0.012289562289562291, ""Real Estate"": 0.004208754208754209}",0.07407407407407407,0.07407407407407407,0.3333333333333333,liquid_50m | universe | 12,0.33333333333333337,0.2389794606345217,0.9884259259259259,0.5231481481481481,0.8148148148148148,0.48842592592592593,0.9328703703703703,0.9884259259259259,0.46064814814814814,0.33333333333333337,0.7677314814814814,5,40,40,True,,,,,True
v11_leadership_liquid_norm_universe_cross_sectional_h12_cap8_sector35_hold15,leadership_liquid,True,universe,universe_cross_sectional,12,0.08,0.35,0.15,qqq_breadth,QQQ,broad,0.6,0.0,5.6456641721806236,0.2581866385762899,-0.39026080673599006,0.304721443509903,0.9088065135749204,1.1206592346940079,0.661574603751978,0.3444597830846909,0.8035030424319038,0.2413023434311809,0.9028310396314605,0.4015240730348321,0.9226686884003032,10.322082931533268,-0.025839103396558483,0.449347520719501,2.2473665266117804,0.3198965022776621,-0.3321605583585703,0.3053003181551166,1.065612761966278,1.4912280725372113,0.9630779279107875,0.8271357037472334,0.814423519109603,0.24259918770081051,1.2494464134563064,0.5060735463384824,12.0,0.12381797439930468,0.12302069027760226,0.1511066849549756,1.0,3.2777913346613543,0.2703,3.336734693877551,62.0,0.6235294117647058,"{""Information Technology"": 0.20636363636363636, ""Consumer Discretionary"": 0.13414141414141414, ""Health Care"": 0.10222222222222223, ""Industrials"": 0.07010101010101011, ""Communication"": 0.0592929292929293, ""Energy"": 0.05848484848484847, ""Financials"": 0.05767676767676769, ""Materials"": 0.05181818181818182, ""Utilities"": 0.018282828282828286, ""Consumer Staples"": 0.012525252525252524, ""Real Estate"": 0.0048484848484848485}",0.7777777777777778,0.5925925925925926,0.9629629629629629,leadership_liquid | universe | 12,0.33333333333333337,0.21794814295760156,0.8888888888888888,0.5231481481481481,0.9398148148148148,0.5648148148148148,0.8009259259259259,0.8611111111111112,0.9444444444444444,0.33333333333333337,0.7663425925925926,7,19,19,True,,,,,True
v11_liquid_50m_norm_universe_cross_sectional_h12_cap9_sector25_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.09,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,5.231163493489795,0.24839890786035124,-0.3330934877409457,0.2944401809742109,0.9031905935044116,1.0874790334513669,0.7457333061207628,0.2834687534278138,0.6924931731906018,0.25442565052373606,0.8314332849883552,0.3191641423347996,0.9567854435178166,9.465766634522662,-0.021265913711447926,0.476017711557432,2.4614453822949853,0.3399031762997915,-0.3330934877409455,0.30994369310711894,1.1029075011015603,1.4534067184726207,1.0204437757250362,0.8398800497576169,0.7673021091251482,0.25857235053814503,1.239919213430533,0.42710571432257416,10.570356472795497,0.17041684561082743,0.17064015833368262,0.16775884597850815,1.0,3.573273572377158,0.29466666666666663,3.2653061224489797,61.0,0.5923076923076922,"{""Information Technology"": 0.17272727272727273, ""Consumer Discretionary"": 0.13451178451178453, ""Health Care"": 0.09595959595959598, ""Industrials"": 0.07104377104377103, ""Communication"": 0.06767676767676765, ""Financials"": 0.05858585858585858, ""Materials"": 0.05235690235690236, ""Energy"": 0.034006734006734006, ""Utilities"": 0.021885521885521883, ""Consumer Staples"": 0.012289562289562291, ""Real Estate"": 0.004208754208754209}",0.07407407407407407,0.07407407407407407,0.3333333333333333,liquid_50m | universe | 12,0.16666666666666663,0.23795481697973098,0.9791666666666666,0.5231481481481481,0.8148148148148148,0.48842592592592593,0.8819444444444444,0.9791666666666666,0.4791666666666667,0.16666666666666663,0.7551388888888889,8,34,34,True,,,,,True
v11_liquid_50m_norm_universe_cross_sectional_h12_cap10_sector25_hold10,liquid_50m,False,universe,universe_cross_sectional,12,0.1,0.25,0.1,qqq_breadth,QQQ,broad,0.6,0.0,5.231163493489795,0.24839890786035124,-0.3330934877409457,0.2944401809742109,0.9031905935044116,1.0874790334513669,0.7457333061207628,0.2834687534278138,0.6924931731906018,0.25442565052373606,0.8314332849883552,0.3191641423347996,0.9567854435178166,9.465766634522662,-0.021265913711447926,0.476017711557432,2.4614453822949853,0.3399031762997915,-0.3330934877409455,0.30994369310711894,1.1029075011015603,1.4534067184726207,1.0204437757250362,0.8398800497576169,0.7673021091251482,0.25857235053814503,1.239919213430533,0.42710571432257416,10.570356472795497,0.17041684561082743,0.17064015833368262,0.16775884597850815,1.0,3.573273572377158,0.29466666666666663,3.2653061224489797,61.0,0.5923076923076922,"{""Information Technology"": 0.17272727272727273, ""Consumer Discretionary"": 0.13451178451178453, ""Health Care"": 0.09595959595959598, ""Industrials"": 0.07104377104377103, ""Communication"": 0.06767676767676765, ""Financials"": 0.05858585858585858, ""Materials"": 0.05235690235690236, ""Energy"": 0.034006734006734006, ""Utilities"": 0.021885521885521883, ""Consumer Staples"": 0.012289562289562291, ""Real Estate"": 0.004208754208754209}",0.07407407407407407,0.07407407407407407,0.3333333333333333,liquid_50m | universe | 12,0.16666666666666663,0.23795481697973098,0.9791666666666666,0.5231481481481481,0.8148148148148148,0.48842592592592593,0.8819444444444444,0.9791666666666666,0.4791666666666667,0.16666666666666663,0.7551388888888889,8,34,34,True,,,,,True
v11_leadership_liquid_norm_universe_cross_sectional_h12_cap9_sector35_hold05,leadership_liquid,True,universe,universe_cross_sectional,12,0.09,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,6.03221870184562,0.26684244410402247,-0.40335879971152255,0.3134428352487356,0.914172195335016,1.1275725303338293,0.6615510664323303,0.37235093001460695,0.8175416401560299,0.24903078661871755,0.9396868758892754,0.4224487057637874,0.9211523881728583,10.322082931533268,-0.015054286765801561,0.48413976352740873,2.545986768317554,0.347543799715089,-0.34045794622990333,0.31524499669183775,1.107861293803936,1.5465287433731338,1.0208127128876021,0.8919272158741802,0.8293176760200865,0.25178989999658996,1.3215397699172537,0.5077787898434858,12.0,0.1441416994437868,0.14446863085940606,0.17231957458996114,1.0,3.702622841965471,0.3053333333333333,3.63265306122449,61.0,0.6211764705882352,"{""Information Technology"": 0.21414141414141416, ""Consumer Discretionary"": 0.13131313131313133, ""Health Care"": 0.1075757575757576, ""Industrials"": 0.07626262626262625, ""Communication"": 0.061616161616161624, ""Financials"": 0.06060606060606061, ""Energy"": 0.05892255892255893, ""Materials"": 0.05606060606060606, ""Utilities"": 0.02154882154882155, ""Consumer Staples"": 0.011784511784511783, ""Real Estate"": 0.004208754208754209}",0.7777777777777778,0.5925925925925926,0.9629629629629629,leadership_liquid | universe | 12,0.16666666666666663,0.24559544039502845,0.9976851851851852,0.5231481481481481,0.9398148148148148,0.2013888888888889,0.9791666666666666,0.9976851851851852,0.2708333333333333,0.16666666666666663,0.7513425925925926,10,3,3,True,,,,,True
v11_leadership_liquid_norm_universe_cross_sectional_h12_cap10_sector35_hold05,leadership_liquid,True,universe,universe_cross_sectional,12,0.1,0.35,0.05,qqq_breadth,QQQ,broad,0.6,0.0,6.03221870184562,0.26684244410402247,-0.40335879971152255,0.3134428352487356,0.914172195335016,1.1275725303338293,0.6615510664323303,0.37235093001460695,0.8175416401560299,0.24903078661871755,0.9396868758892754,0.4224487057637874,0.9211523881728583,10.322082931533268,-0.015054286765801561,0.48413976352740873,2.545986768317554,0.347543799715089,-0.34045794622990333,0.31524499669183775,1.107861293803936,1.5465287433731338,1.0208127128876021,0.8919272158741802,0.8293176760200865,0.25178989999658996,1.3215397699172537,0.5077787898434858,12.0,0.1441416994437868,0.14446863085940606,0.17231957458996114,1.0,3.702622841965471,0.3053333333333333,3.63265306122449,61.0,0.6211764705882352,"{""Information Technology"": 0.21414141414141416, ""Consumer Discretionary"": 0.13131313131313133, ""Health Care"": 0.1075757575757576, ""Industrials"": 0.07626262626262625, ""Communication"": 0.061616161616161624, ""Financials"": 0.06060606060606061, ""Energy"": 0.05892255892255893, ""Materials"": 0.05606060606060606, ""Utilities"": 0.02154882154882155, ""Consumer Staples"": 0.011784511784511783, ""Real Estate"": 0.004208754208754209}",0.7777777777777778,0.5925925925925926,0.9629629629629629,leadership_liquid | universe | 12,0.16666666666666663,0.24559544039502845,0.9976851851851852,0.5231481481481481,0.9398148148148148,0.2013888888888889,0.9791666666666666,0.9976851851851852,0.2708333333333333,0.16666666666666663,0.7513425925925926,10,3,3,True,,,,,True
