comparison_layer,strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Sortino,Calmar,Turnover/Year,Rebalances/Year,Average Names Held,Beta vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,2022 Return,2023+ CAGR,research_group,universe_filter,holdings_count,single_name_cap,sector_cap,regime_name,benchmark_symbol,breadth_mode,soft_defense_exposure,hard_defense_exposure,hold_bonus,group_normalization,residual_proxy
research_only,base_candidate,base_candidate,0.0,Full Sample,2018-01-02,2026-04-02,2.715579490824457,0.17253073736292612,-0.3728767879785576,0.25550656800540367,0.7530333525120412,0.8424628702778963,0.4627017366735297,3.8577409113545813,9.579930278884461,11.80327868852459,0.6126966054562466,-0.006153425141650513,0.6670457142614694,0.35960135698661166,-0.15509523200605835,0.31834050168371664,offensive_ablation,leadership_liquid,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,base_candidate,base_candidate,0.0,2022,2022-01-03,2022-12-30,-0.15509523200605835,-0.1567699413418765,-0.16593827614097512,0.10969810672107719,-1.4868713036874315,-1.1989759550928014,-0.9447485232924226,3.730912396121884,6.070637119113573,5.035856573705179,0.13161283059569037,0.6099847149176609,0.0,0.2600545614776624,-0.15509523200605835,0.31834050168371664,offensive_ablation,leadership_liquid,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,base_candidate,base_candidate,0.0,2023+,2023-01-03,2026-04-02,1.4513871679873818,0.31834050168371664,-0.23124383390695058,0.2696340784900374,1.164098211030813,1.59357405549437,1.3766442819479139,4.423069620253164,12.020886075949367,14.802453987730061,0.8347984280674579,0.20857478438388466,1.0583396880602474,0.7905458751977053,-0.15509523200605835,0.31834050168371664,offensive_ablation,leadership_liquid,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,base_candidate,base_candidate,5.0,Full Sample,2018-01-02,2026-04-02,2.656972014427413,0.17027226256599892,-0.37302695578168854,0.2555068142853254,0.7454685293912566,0.8343505275091319,0.45646101421595275,3.8577409113545813,9.579930278884461,11.80327868852459,0.6127069594732573,-0.014594468126391832,0.6635389318425475,0.3628629735129287,-0.15665114419875414,0.3154238417006321,offensive_ablation,leadership_liquid,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,base_candidate,base_candidate,5.0,2022,2022-01-03,2022-12-30,-0.15665114419875414,-0.15834103369454133,-0.165938276140975,0.10968210664609651,-1.5039651189614671,-1.205291059439916,-0.9542164555212124,3.730912396121884,6.070637119113573,5.035856573705179,0.1315349019673401,0.6036975726793589,-0.0011209241210952186,0.2624635497292259,-0.15665114419875414,0.3154238417006321,offensive_ablation,leadership_liquid,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,base_candidate,base_candidate,5.0,2023+,2023-01-03,2026-04-02,1.4338354479528697,0.3154238417006321,-0.23145973561681488,0.2696540189077112,1.1557848166264428,1.5810409471676061,1.3627590166387344,4.423069620253164,12.020886075949367,14.802453987730061,0.8348343591171368,0.19824995460380937,1.0542126510232326,0.7971533582463123,-0.15665114419875414,0.3154238417006321,offensive_ablation,leadership_liquid,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,universe_full_eligible,universe_full_eligible,0.0,Full Sample,2018-01-02,2026-04-02,2.199594232286683,0.151463838285814,-0.46068471449988324,0.2655735383224109,0.6661729250420294,0.733312074844346,0.32877982168399555,3.878962275896414,9.579930278884461,11.80327868852459,0.6334511671884334,-0.07184702839340631,0.6455142632593253,0.39670030649373844,-0.16059893451452434,0.3554854485594161,offensive_ablation,full_eligible,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,universe_full_eligible,universe_full_eligible,0.0,2022,2022-01-03,2022-12-30,-0.16059893451452434,-0.16232718710425598,-0.18101985305713997,0.11670548822310796,-1.4471681654241324,-1.258779071417011,-0.8967369289213624,3.7056180747922443,6.070637119113573,5.035856573705179,0.14287064623734408,0.5929420174020622,0.0,0.26376456564307244,-0.16059893451452434,0.3554854485594161,offensive_ablation,full_eligible,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,universe_full_eligible,universe_full_eligible,0.0,2023+,2023-01-03,2026-04-02,1.6826398921568155,0.3554854485594161,-0.23084351847777274,0.27956081942762173,1.2322923634123826,1.6972012762192996,1.5399412160391446,4.334454113924051,12.020886075949367,14.802453987730061,0.8639907283085551,0.3394856828335357,1.1289742874933026,0.7420635748158559,-0.16059893451452434,0.3554854485594161,offensive_ablation,full_eligible,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
research_only,universe_full_eligible,universe_full_eligible,5.0,Full Sample,2018-01-02,2026-04-02,2.1489114461946004,0.14923646315789307,-0.4614729092235589,0.2655645151147937,0.6588779029210186,0.7257290837892049,0.32339160148964674,3.878962275896414,9.579930278884461,11.80327868852459,0.6334610424336183,-0.08011487645266069,0.6419909871274236,0.3999618935288555,-0.16213332881554554,0.35255291109186015,offensive_ablation,full_eligible,16,0.08,0.3,qqq_xlk_smh_breadth,QQQ,sector_etf,0.6,0.0,0.1,sector,simple_excess_return_vs_QQQ
