strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,2022 Return,2023+ CAGR,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,TQQQ Days Share,Raw Gate True Share,Gate Active Share,Gate Flips/Year,family,overlay,overlay_description,idle_asset,entry_confirm_days,exit_confirm_days,income_mode,safe_haven_symbols
tqqq_growth_income::current_atr_entry,tqqq_growth_income::current_atr_entry,5.0,Full Sample,2018-01-02,2026-04-10,1.5859468413208915,0.1217697998720888,-0.18970916207345168,0.1346443809273691,0.9229943763421716,0.40995767628064983,0.04281975737938814,-0.44161057370923795,0.5726338090019468,0.501790629240681,0.556595540764745,-0.07700030713640993,0.18535806288012302,0.1551186217077129,0.25308056080395924,0.021484167500614333,0.6988936988936989,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,0,0,runtime_full,
tqqq_growth_income::current_atr_entry,tqqq_growth_income::current_atr_entry,5.0,2018-2021,2018-01-02,2021-12-31,0.6077054161748765,0.12621753714840867,-0.18970916207345168,0.1257003617826315,1.0076877591534525,0.3647329360249311,0.029306071154782204,-0.7851835094016214,0.5039010014684846,0.5247404169133838,0.7091383255471488,,,0.16705735997738763,0.2711034539529361,0.023061095470017046,0.6726190476190477,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,0,0,runtime_full,
tqqq_growth_income::current_atr_entry,tqqq_growth_income::current_atr_entry,5.0,2022,2022-01-03,2022-12-30,-0.07700030713640993,-0.0778705770500534,-0.10051110170521638,0.048964736799096784,-1.6180916145708186,0.0723775537087434,-0.05433586128863469,0.8801892247055911,0.1184306029596568,0.17506266512388435,0.21792755901720448,-0.07700030713640993,,0.011753992685939477,0.3682460073140605,0.020000000000000004,0.06772908366533864,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,0,0,runtime_full,
tqqq_growth_income::current_atr_entry,tqqq_growth_income::current_atr_entry,5.0,2023+,2023-01-03,2026-04-10,0.7426555813750613,0.18535806288012302,-0.1777566311097155,0.16044493204397267,1.1445029670186289,0.7640903448120536,-0.03100717328659987,-1.3870690410480886,0.7600019565312297,1.0303613286586295,0.475786980160125,,0.18535806288012302,0.1843262725718995,0.1956737274281005,0.020000000000000007,0.9243902439024391,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,0,0,runtime_full,
tqqq_growth_income::ma200_entry,tqqq_growth_income::ma200_entry,5.0,Full Sample,2018-01-02,2026-04-10,1.486313939234631,0.11645186968160148,-0.19330370634463256,0.1475821016027529,0.8222412443774232,0.46804244361307346,0.028350730298210357,-0.48507541422770817,0.6336638495083481,0.63681773248647,1.5446363515459034,-0.13688848420715327,0.20236374342071262,0.17580844075053398,0.26115597743040964,0.02299812727268125,0.7436267436267436,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,0,0,runtime_full,
tqqq_growth_income::ma200_entry,tqqq_growth_income::ma200_entry,5.0,2018-2021,2018-01-02,2021-12-31,0.5778706860583203,0.12094868317759322,-0.19330370634463256,0.14837700318511418,0.8431969072741547,0.4543206786763453,0.003836119643034635,-0.8559054823289076,0.6156330936450035,0.8251239419560519,2.2695581052872096,,,0.20221185726163748,0.2952772552365588,0.026183637499905068,0.7361111111111112,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,0,0,runtime_full,
tqqq_growth_income::ma200_entry,tqqq_growth_income::ma200_entry,5.0,2022,2022-01-03,2022-12-30,-0.13688848420715327,-0.1383830455076528,-0.15886654414449686,0.06208546518840426,-2.348601355912498,0.10015802255538496,-0.11136561190025196,0.674885941607926,0.08013870584258657,0.2652255822612882,1.7607071232874325,-0.13688848420715327,,0.020834356309640128,0.35916564369035986,0.020000000000000004,0.14741035856573706,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,0,0,runtime_full,
tqqq_growth_income::ma200_entry,tqqq_growth_income::ma200_entry,5.0,2023+,2023-01-03,2026-04-10,0.8256505228717193,0.20236374342071262,-0.1787253468184341,0.16391448643210957,1.210997880379767,0.7872695607856879,-0.02264793838204538,-1.2691409780218932,0.7755320662183649,0.9533352196771461,0.6017613030576917,,0.20236374342071262,0.19078874727671943,0.18921125272328057,0.020000000000000004,0.9353658536585366,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,0,0,runtime_full,
tqqq_attack_only::current_atr_entry,tqqq_attack_only::current_atr_entry,5.0,Full Sample,2018-01-02,2026-04-10,4.216311875702505,0.22112636500849203,-0.4545082146403797,0.2804768062494101,0.8558169868190806,0.7800359296263926,0.0850481307388565,0.19124488005592802,1.1460958093283975,1.0491327077156918,1.2692582271967139,-0.1611619482609581,0.2378376411204206,0.39396637306412036,0.5560336269358795,0.05000000000000001,0.6988936988936989,1.0,0.9995189995189995,0.12094370860927152,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::current_atr_entry,tqqq_attack_only::current_atr_entry,5.0,2018-2021,2018-01-02,2021-12-31,2.09757699765431,0.327161581090619,-0.4545082146403797,0.3343844700220919,1.0153092243014588,0.9671755689522489,0.08132888032419155,0.3062138332224471,1.338531780038087,1.396822817357855,1.491974170742681,,,0.4351385916988259,0.514861408301174,0.05,0.6726190476190477,1.0,0.9990079365079365,0.2503427004797807,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::current_atr_entry,tqqq_attack_only::current_atr_entry,5.0,2022,2022-01-03,2022-12-30,-0.1611619482609581,-0.16289565404135964,-0.17379361871407373,0.0856036403576307,-2.0167409749358187,0.050832583971707826,-0.15515698706599682,0.5422051839684154,0.0,0.2597877775547676,0.5123799106779708,-0.1611619482609581,,0.02760634657959304,0.9223936534204069,0.05,0.06772908366533864,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::current_atr_entry,tqqq_attack_only::current_atr_entry,5.0,2023+,2023-01-03,2026-04-10,1.00753587915267,0.2378376411204206,-0.20112246390559085,0.2439340514845394,1.0006183361217909,1.015627684925452,-0.04121011079367885,-0.2682182301127547,1.1375718666962253,1.8132866966413048,1.2333615953610704,,0.2378376411204206,0.45549658070294147,0.49450341929705854,0.05,0.9243902439024391,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,current_atr_entry,Current ATR-adjusted entry line above MA200.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::ma200_entry,tqqq_attack_only::ma200_entry,5.0,Full Sample,2018-01-02,2026-04-10,3.497692152606591,0.19943025423385863,-0.46293657877695515,0.31199883868772516,0.7421997727680765,0.9120389668965658,0.05034853307904465,0.14648608853668282,1.2759609300129562,1.3467948135672663,2.9177308356151004,-0.3012840014884297,0.2948602552312356,0.4351977049004746,0.5148022950995254,0.05000000000000001,0.7436267436267436,1.0,0.9995189995189995,0.12094370860927152,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::ma200_entry,tqqq_attack_only::ma200_entry,5.0,2018-2021,2018-01-02,2021-12-31,1.7678357694448836,0.2902878301625167,-0.46293657877695515,0.37867834790407395,0.8647812628441118,1.1641829711152156,0.016710656803520768,0.23878074106306119,1.5661544045435238,2.0573724814650336,3.4950414159425875,,,0.5024365293564186,0.4475634706435813,0.05,0.7361111111111112,1.0,0.9990079365079365,0.2503427004797807,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::ma200_entry,tqqq_attack_only::ma200_entry,5.0,2022,2022-01-03,2022-12-30,-0.3012840014884297,-0.3042268547610312,-0.31183066004144167,0.13147855658075652,-2.6682163007788597,0.1236418833557083,-0.30828778228521225,-0.022324072966270286,-0.09940214339255773,0.49964505489936295,4.549420682134959,-0.3012840014884297,,0.05212311161829454,0.8978768883817054,0.05,0.14741035856573706,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
tqqq_attack_only::ma200_entry,tqqq_attack_only::ma200_entry,5.0,2023+,2023-01-03,2026-04-10,1.3256733784432462,0.2948602552312356,-0.2013042047082766,0.25448846256850854,1.1471361719838025,1.0723141080388416,-0.00928558005271968,0.07869860891016904,1.1877707947922838,1.5748032883476377,1.7350719458898973,,0.2948602552312356,0.46980134863490824,0.4801986513650919,0.05,0.9353658536585366,1.0,1.0,0.0,tqqq_growth_entry_gate_followup,ma200_entry,Enter immediately above MA200 when flat; exits unchanged.,BOXX,2,2,attack_only,"('BOXX', 'CASH', 'BOXX')"
